Species,Code,Dataset,BIOME,,GF,Decid/E'green,Needle/Broad lf,C3C4,N2-fixer,log LL,log LMA,log Nmass,log Narea,log Gs,log Parea,log Amass,log Aarea
Styrax camporum,1539,Prado&DeMoraes1997_SAO_CARLOS,TROP_FOR,,T,,B,C3,N,0,2.322210609,0.214843848,0.537054457,0,0,1.591064607,0.908485019
Tibouchina stenocarpa,1540,Prado&DeMoraes1997_SAO_CARLOS,TROP_FOR,,T,,B,C3,N,0,2.133535434,0.206825876,0.34036131,0,0,2.164352856,1.29666519
Tocoyena formosa,1541,Prado&DeMoraes1997_SAO_CARLOS,TROP_FOR,,T,,B,C3,N,0,2.198664904,0.269512944,0.468177849,0,0,1.612783857,0.812913357
Callitris intratropica,1542,Prior_woodland,TROP_FOR,,T,E,N,C3,N,0,2.346787486,0.045322979,0.392110465,0,-0.814363423,1.556302501,0.892094603
Cochlospermum fraseri,1543,Prior_woodland,TROP_FOR,,T,D,B,C3,N,0.51851394,1.777283529,0.245512668,0.022796197,0,-1.319626484,2.195899652,0.973127854
Corymbia foelscheana,1544,Prior_woodland,TROP_FOR,,T,E,B,C3,N,0.991226076,2.346787486,-0.107905397,0.238882089,0,-1.08501079,1.770852012,1.11058971
Melaleuca viridiflora,1545,Prior_woodland,TROP_FOR,,T,E,B,C3,N,1.008600172,2.366531544,-0.113509275,0.25302227,0,-1.065266732,1.785329835,1.149219113
Planchonia careya,1546,Prior_woodland,TROP_FOR,,T,D,B,C3,N,0.929418926,2.004364805,0.204119983,0.208484788,0,-1.066216269,2,1.008600172
Syzygium eucalyptoides ssp bleeseri,1547,Prior_woodland,TROP_FOR,,T,E,B,C3,N,1.053078443,2.102372909,0.064457989,0.166830898,0,-1.091447117,1.819543936,0.919078092
Terminalia ferdinandiana,1548,Prior_woodland,TROP_FOR,,T,D,B,C3,N,0.681241237,2.080921908,0.181843588,0.262765496,0,-1.010593073,2.033423755,1.11058971
Xanthostemon paradoxus,1549,Prior_woodland,TROP_FOR,,T,E,B,C3,N,1.021189299,2.13667714,0.06069784,0.19737498,0,-1.17312678,1.929418926,1.068185862
Brachychiton megaphyllus,1550,Prior_open forest,TROP_FOR,,T,D,B,C3,N,0.84509804,1.991399828,0.305351369,0.296751198,0,-0.904796451,2.033423755,1.025305865
Buchanania obovata,1551,Prior_open forest,TROP_FOR,,T,E,B,C3,N,1.041392685,2.214670165,0.06069784,0.275368005,0,-0.927997339,1.806179974,1.025305865
Erythrophleum chlorostachys,1552,Prior_open forest,TROP_FOR,,T,E,B,C3,Y,0.977723605,2,0.357934847,0.357934847,0,-1.091514981,2.041392685,1.037426498
Eucalyptus tetrodonta,1553,Prior_open forest,TROP_FOR,,T,E,B,C3,N,0.913813852,2.259637311,-0.148741651,0.110895659,0,-1.22184875,1.792391689,1.045322979
Planchonia careya,1554,Prior_open forest,TROP_FOR,,T,D,B,C3,N,0.84509804,1.924453039,0.260071388,0.184524427,0,-1.030223983,2.103803721,1.025305865
Syzygium suborbiculare,1555,Prior_open forest,TROP_FOR,,T,E,B,C3,N,0.977723605,2.142667504,0.079181246,0.22184875,0,-1.057991947,1.913813852,1.045322979
Terminalia ferdinandiana,1556,Prior_open forest,TROP_FOR,,T,D,B,C3,N,0.716003344,2.004364805,0.178976947,0.183341753,0,-1.041392685,1.973127854,0.973127854
Eucalyptus clavigera,1557,Prior_open forest,TROP_FOR,,T,E,B,C3,N,0,2.145693958,0.017033339,0.162727297,0,0,1.934498451,1.079181246
Eucalyptus miniata,1558,Prior_open forest,TROP_FOR,,T,E,B,C3,N,0,2.093126465,0.230448921,0.323575387,0,0,2.117271296,1.220108088
Acacia auriculiformis,1559,Prior_swamp,TROP_FOR,,T,E,B,C3,Y,1,2.022276395,0.394451681,0.416728076,0,-0.898542359,2.133538908,1.158362492
Lophostemon lactifluus,1560,Prior_swamp,TROP_FOR,,T,E,B,C3,N,0.939519253,2.080921908,-0.017728767,0.063193141,0,-1.228882012,1.832508913,0.924279286
Melaleuca viridiflora,1561,Prior_swamp,TROP_FOR,,T,E,B,C3,N,0.991226076,2.356547324,-0.214670165,0.141877159,0,-1.196294645,1.806179974,1.149219113
Ficus racemosa,1562,Prior_dry monsoon forest,TROP_FOR,,T,E,B,C3,N,0.77815125,1.818156412,0.382017043,0.200173455,0,-0.94129434,2.397940009,1.214843848
Ficus scobina,1563,Prior_dry monsoon forest,TROP_FOR,,T,E,B,C3,N,0.681241237,1.920818754,0.478566496,0.39938525,0,-0.809668302,2.181843588,1.089905111
Mallotus nesophilus,1564,Prior_dry monsoon forest,TROP_FOR,,T,E,B,C3,N,0.698970004,1.879426069,0.350248018,0.229674087,0,-0.953256596,2.243038049,1.120573931
Melaleuca leucadendra,1565,Prior_dry monsoon forest,TROP_FOR,,T,E,B,C3,N,0.913813852,2.173925197,0.021189299,0.195114496,0,-0.91226095,2.11058971,1.271841607
Terminalia microcarpa,1566,Prior_dry monsoon forest,TROP_FOR,,T,D,B,C3,N,0.84509804,1.920818754,0.357934847,0.278753601,0,-0.853871964,2.222716471,1.123851641
Wrightia pubescens,1567,Prior_dry monsoon forest,TROP_FOR,,T,D,B,C3,N,0.832508913,1.716698771,0.51054501,0.227243782,0,-1.068457381,2.260071388,0.982271233
Acantholimon diapensioides,1568,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,2.113943352,0,0,0,0,0,0
Achnatherum splendens,1569,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,G,,,,,0,2.076640444,0,0,0,0,0,0
Ajania tibetica,1570,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,S,,,,,0,2.041787319,0,0,0,0,0,0
Allium platyspathum,1571,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,2.06595298,0,0,0,0,0,0
Allium sp,1572,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.552668216,0,0,0,0,0,0
Artemisia leucotricha,1573,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,S,,,,,0,2,0,0,0,0,0,0
Artemisia pamirica,1574,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,S,,,,,0,1.847572659,0,0,0,0,0,0
Artemisia rhodantha,1575,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,S,,,,,0,1.944482672,0,0,0,0,0,0
Astragalus tibetanus,1576,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.618048097,0,0,0,0,0,0
Carex dimorphotheca,1577,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,G,,,,,0,1.71432976,0,0,0,0,0,0
Carex orbicularis,1578,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,G,,,,,0,1.914343157,0,0,0,0,0,0
Carex pseudofoetida,1579,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,G,,,,,0,1.716837723,0,0,0,0,0,0
Christolea crassifolia,1580,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,2.062581984,0,0,0,0,0,0
Comarum salesovianum,1581,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,S,,,,,0,1.542825427,0,0,0,0,0,0
Corydalis stricta,1582,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.963787827,0,0,0,0,0,0
Dracocephalum heterophyllum,1583,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,S,,,,,0,1.835690571,0,0,0,0,0,0
Elymus nutans,1584,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,G,,B,,,0,1.700703717,0,0,0,0,0,0
Ephedra regeliana,1585,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,S,,,,,0,1.881384657,0,0,0,0,0,0
Gentiana karelinii,1586,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.627365857,0,0,0,0,0,0
Gentiana leucomelaena,1587,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.819543936,0,0,0,0,0,0
Glaux maritima,1588,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.882524538,0,0,0,0,0,0
Gypsophila capituliflora,1589,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,2.070776463,0,0,0,0,0,0
Halerpestes sarmentosa,1590,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.768638101,0,0,0,0,0,0
Hedysarum minjanense,1591,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.691965103,0,0,0,0,0,0
Hordeum turkestanicum,1592,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,G,,B,,,0,1.663700925,0,0,0,0,0,0
Knorringia pamiricum,1593,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,2.065579715,0,0,0,0,0,0
Kobresia capilliformis,1594,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,G,,,,,0,1.610660163,0,0,0,0,0,0
Krascheninnikovia ceratoides,1595,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,S,,,,,0,1.970346876,0,0,0,0,0,0
Leymus pubescens,1596,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,G,,B,,,0,1.981818607,0,0,0,0,0,0
Ligularia alpigena,1597,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.805500858,0,0,0,0,0,0
Lindelofia pterocarpa,1598,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.788168371,0,0,0,0,0,0
Lomatocarpa albomarginata,1599,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.740362689,0,0,0,0,0,0
Macrotomia euchroma,1600,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,2.096910013,0,0,0,0,0,0
Myricaria squamosa,1601,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,S,,,,,0,2.041392685,0,0,0,0,0,0
Oxytropis chiliophylla,1602,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.561101384,0,0,0,0,0,0
Oxytropis globiflora,1603,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.699837726,0,0,0,0,0,0
Parnassia laxmannii,1604,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.720985744,0,0,0,0,0,0
Pedicularis ludwigii,1605,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.845718018,0,0,0,0,0,0
Pentaphylloides dryadanthoides,1606,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,S,,,,,0,1.944482672,0,0,0,0,0,0
Plantago arachnoidea,1607,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.881954971,0,0,0,0,0,0
Potentilla anserina,1608,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,B,C3,N,0,1.892651034,0,0,0,0,0,0
Potentilla malacotricha,1609,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.909556029,0,0,0,0,0,0
Potentilla moorcroftii,1610,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,2.105169428,0,0,0,0,0,0
Potentilla multifida,1611,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,2.007320953,0,0,0,0,0,0
Primula algida,1612,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,2.054995862,0,0,0,0,0,0
Primula pamirica,1613,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.596597096,0,0,0,0,0,0
Pyrethrum djilgense,1614,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,2.020361283,0,0,0,0,0,0
Ranunculus krasnovii,1615,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.663700925,0,0,0,0,0,0
Ranunculus pseudohirculus,1616,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.789580712,0,0,0,0,0,0
Saussurea salsa,1617,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.876794976,0,0,0,0,0,0
Scrophularia pamirica,1618,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.868056362,0,0,0,0,0,0
Senecio krascheninnikovii,1619,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.777426822,0,0,0,0,0,0
Serratula procumbens,1620,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.914871818,0,0,0,0,0,0
Silene graminifolia,1621,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.716003344,0,0,0,0,0,0
Stellaria winkleri,1622,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.643452676,0,0,0,0,0,0
Stipa orientalis,1623,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,G,,,,,0,1.545307116,0,0,0,0,0,0
Suaeda olufsenii,1624,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,2.261500773,0,0,0,0,0,0
Taraxacum dissectum,1625,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.778874472,0,0,0,0,0,0
Taraxacum leucantum,1626,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.822821645,0,0,0,0,0,0
Viola tianschanica,1627,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,1.795880017,0,0,0,0,0,0
Zygophyllum rosowii,1628,Pyankov_Tadjikistan_Tadjikistan_high,DESERT,,H,,,,,0,2.206286044,0,0,0,0,0,0
Androsace akbaitalensis,1629,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,,,,,0,1.592176757,0,0,0,0,0,0
Bistorta viviparum,1630,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,,,,,0,1.910090546,0,0,0,0,0,0
Clematis tangutica,1631,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,S,,,,,0,1.914871818,0,0,0,0,0,0
Draba korshinskyi,1632,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,,,,,0,1.46686762,0,0,0,0,0,0
Draba pamirica,1633,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,,,,,0,1.815577748,0,0,0,0,0,0
Dracocephalum paulsenii,1634,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,,,,,0,1.808210973,0,0,0,0,0,0
Erigeron heterochaeta,1635,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,,,,,0,1.774516966,0,0,0,0,0,0
Erigeron poncinsii,1636,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,,,,,0,1.838849091,0,0,0,0,0,0
Lloydia serotina,1637,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,,,,,0,2.219060332,0,0,0,0,0,0
Oxygraphis glacialis,1638,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,,,,,0,1.835690571,0,0,0,0,0,0
Oxyria digyna,1639,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,D,B,C3,N,0,1.648360011,0,0,0,0,0,0
Oxytropis incanescens,1640,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,,,,,0,2.007320953,0,0,0,0,0,0
Papaver involucratum,1641,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,,,,,0,1.857935265,0,0,0,0,0,0
Primula macrophylla,1642,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,,,,,0,2.026124517,0,0,0,0,0,0
Rheum spiciforme,1643,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,,,,,0,2.06595298,0,0,0,0,0,0
Rhodiola gelida,1644,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,,,,,0,1.983626287,0,0,0,0,0,0
Rhodiola pamiroalaica,1645,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,,,,,0,1.643452676,0,0,0,0,0,0
Saxifraga hirculus,1646,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,,,,,0,1.935507266,0,0,0,0,0,0
Sibbaldia tetrandra,1647,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,,,,,0,1.949390007,0,0,0,0,0,0
Smelowskia pectinata,1648,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,,,,,0,1.611723308,0,0,0,0,0,0
Swertia marginata,1649,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,,,,,0,1.738780558,0,0,0,0,0,0
Valeriana fedtschenkoi,1650,Pyankov_Tadjikistan_Tadjikistan_higher,DESERT,,H,,,,,0,1.710963119,0,0,0,0,0,0
Calamagrostis anthoxanthoides,1651,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,,G,,B,,,0,1.701567985,0,0,0,0,0,0
Carex melanantha,1652,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,,G,,,,,0,1.779596491,0,0,0,0,0,0
Carex stenocarpa,1653,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,,G,,,,,0,1.643452676,0,0,0,0,0,0
Chenopodium foliosum,1654,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,,H,,,,,0,1.821513528,0,0,0,0,0,0
Geranium himalayense,1655,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,,H,,,,,0,1.678518379,0,0,0,0,0,0
Leontopodium ochroleucum,1656,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,,H,,,,,0,1.902546779,0,0,0,0,0,0
Lonicera semenovii,1657,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,,S,,,,,0,1.891537458,0,0,0,0,0,0
Potentilla pamirica,1658,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,,H,,,,,0,2.109915863,0,0,0,0,0,0
Ranunculus rufosepalus,1659,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,,H,,,,,0,1.737987326,0,0,0,0,0,0
Rhodiola heterodonta,1660,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,,H,,,,,0,2.013679697,0,0,0,0,0,0
Sophiopsis annua,1661,Pyankov_Tadjikistan_Tadjikistan_highest,DESERT,,H,,,,,0,1.899820502,0,0,0,0,0,0
Impatiens noli-tangere,1662,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.158362492,0.599883072,-0.241751656,0,0,0,0
Capsella bursa-pastoris,1663,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.389166084,0.63748973,0.062371366,0,0,0,0
Lepidium ruderale,1664,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.704150517,0.604226053,0.309237163,0,0,0,0
Thlaspi arvense,1665,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.607455023,0.606381365,0.21276273,0,0,0,0
Spergula arvensis,1666,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.954242509,0.471291711,0.321938358,0,0,0,0
Stellaria media,1667,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.488550717,0.596597096,-0.39056568,0,0,0,0
Chenopodium album,1668,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,B,C3,N,0,1.238046103,0.64738297,0.149657714,0,0,0,0
Fumaria officinalis,1669,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.36361198,0.692846919,0.056460787,0,0,0,0
Erodium cicutarium,1670,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.260071388,0.294466226,-0.056042083,0,0,0,0
Polygonum aviculare,1671,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.472756449,0.691081492,0.163837941,0,0,0,0
Melampyrum pratense,1672,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.686636269,0.519827994,0.206464501,0,0,0,0
Spergularia rubra,1673,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.910624405,0.432969291,0.342141318,0,0,0,0
Leucanthemum vulgare,1674,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.475671188,0.340444115,-0.032191766,0,0,0,0
Campanula sibirica,1675,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.928395852,0.23299611,0.065008976,0,0,0,0
Hyoscyamus niger,1676,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.247973266,0.73239376,0.282622113,0,0,0,0
Aegopodium podagraria,1677,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.51851394,0.610836945,0.129394317,0,0,0,0
Vincetoxicum hirundinaria,1678,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.505149978,0.648360011,-0.01131575,0,0,0,0
Antennaria dioica,1679,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.602059991,0.164352856,-0.100963879,0,0,0,0
Anthemis tinctoria,1680,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.875639937,0.278753601,0.154379814,0,0,0,0
Arctium tomentosum,1681,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.301029996,0.674861141,0.127159207,0,0,0,0
Artemisia absinthium,1682,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.382017043,0.344392274,0.068666406,0,0,0,0
Artemisia vulgaris,1683,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.531478917,0.367355921,-0.091964308,0,0,0,0
Aster amellus,1684,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.990782692,0.324282455,0.315065147,0,0,0,0
Cacalia hastata,1685,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.274157849,0.61324864,-0.046427055,0,0,0,0
Cirsium arvense,1686,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.583198774,0.28780173,0.03449915,0,0,0,0
Echinops ritro,1687,Pyankov_Urals_Yekaterinburg,BOREAL,,H,D,B,C3,N,0,2.079181246,0.162018865,0.253694726,0,0,0,0
Inula hirta,1688,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.673941999,0.450249108,0.248995766,0,0,0,0
Tanacetum vulgare,1689,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,B,C3,N,0,1.631443769,0.381211296,0.097214503,0,0,0,0
Myosotis palustris,1690,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.397940009,0.338456494,-0.386578001,0,0,0,0
Onobrychis arenaria,1691,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,2.049605613,0.44870632,0.186255181,0,0,0,0
Bunias orientalis,1692,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.617000341,0.712649702,0.32966064,0,0,0,0
Dianthus acicularis,1693,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.84509804,0.325519384,-0.276540608,0,0,0,0
Dianthus versicolor,1694,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.750508395,0.312856801,0.164794265,0,0,0,0
Sedum acre,1695,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,2.301029996,0.181169997,0.482143025,0,0,0,0
Sedum purpureum,1696,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.806179974,0.395672261,0.828284803,0,0,0,0
Knautia arvensis,1697,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.588831726,0.33243846,-0.071427007,0,0,0,0
Lathyrus vernus,1698,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,Y,0,1.301029996,0.653212514,0.104998949,0,0,0,0
Lupinus polyphyllus,1699,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,Y,0,1.503790683,0.474216264,-0.023356616,0,0,0,0
Origanum vulgare,1700,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,Y,0,1.688419822,0.250420002,0.001448253,0,0,0,0
Trifolium pratense,1701,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,B,C3,Y,0,1.588831726,0.568201724,0.207421814,0,0,0,0
Trifolium repens,1702,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,B,C3,Y,0,1.552668216,0.558708571,0.111379957,0,0,0,0
Herniaria glabra,1703,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,2.041392685,0.315970345,0.421322592,0,0,0,0
Betonica officinalis,1704,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.505149978,0.408239965,0.027314288,0,0,0,0
Glechoma hederaceae,1705,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.336459734,0.719331287,0.05583069,0,0,0,0
Chamaenerion angustifolium,1706,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,B,C3,N,0,1.556302501,0.521138084,0.078171505,0,0,0,0
Plantago media,1707,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.582063363,0.26245109,-0.065808559,0,0,0,0
Polygala sibirica,1708,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.84135947,0.267138477,0.108436819,0,0,0,0
Polygala vulgaris,1709,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.833147112,0.37558051,0.184470035,0,0,0,0
Polygonum bistorta,1710,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,B,C3,N,0,1.380211242,0.321204907,-0.298583852,0,0,0,0
Rumex acetosella,1711,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.829946696,0.225309282,0.055253024,0,0,0,0
Trientalis europaea,1712,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.348304863,0.559906625,0.011693061,0,0,0,0
Adonis vernalis,1713,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.840106094,0.44870632,0.288813583,0,0,0,0
Anemone sylvestris,1714,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.705863712,0.372912003,0.070141346,0,0,0,0
Aquilegia vulgaris,1715,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.531478917,0.365487985,-0.104312317,0,0,0,0
Caltha palustris,1716,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,B,C3,N,0,1.447158031,0.632457292,-0.066512712,0,0,0,0
Thalictrum simplex,1717,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.644438589,0.399673721,-0.038868661,0,0,0,0
Trollius europaeus,1718,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,B,C3,N,0,1.630427875,0.620136055,0.253604511,0,0,0,0
Filipendula ulmaria,1719,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,B,C3,N,0,1.725911632,0.271841607,-0.126921442,0,0,0,0
Filipendula vulgaris,1720,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.672097858,0.278753601,-0.169659013,0,0,0,0
Fragaria vesca,1721,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.414973348,0.302331084,-0.220392528,0,0,0,0
Fragaria viridis,1722,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.712649702,0.26245109,-0.165275561,0,0,0,0
Potentilla erecta,1723,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.506505032,0.348304863,-0.301044638,0,0,0,0
Sanguisorba officinalis,1724,Pyankov_Urals_Yekaterinburg,BOREAL,,H,,,,N,0,1.484299839,0.276461804,-0.313599427,0,0,0,0
